R;G;B;I;H;S;output
173;118;113;134.6666667;0.075164683;0.160891089;3
173;118;113;134.6666667;0.075164683;0.160891089;3
173;118;125;138.6666667;0.117172987;0.149038462;3
164;107;100;123.6666667;0.099867942;0.191374663;3
182;130;100;137.3333333;0.369921251;0.27184466;3
173;130;100;134.3333333;0.421142985;0.255583127;3
190;154;125;156.3333333;0.461502529;0.200426439;3
190;154;88;144;0.691803197;0.388888889;3
190;142;100;144;0.485127748;0.305555556;3
173;118;100;130.3333333;0.238917468;0.232736573;3
164;118;100;127.3333333;0.276183257;0.214659686;3
164;107;100;123.6666667;0.099867942;0.191374663;3
190;166;138;164.6666667;0.56798117;0.16194332;3
190;166;125;160.3333333;0.673465891;0.22037422;3
190;166;125;160.3333333;0.673465891;0.22037422;3
182;142;100;141.3333333;0.537679559;0.29245283;3
182;142;113;145.6666667;0.431816028;0.224256293;3
199;142;63;134.6666667;0.616723535;0.532178218;3
190;142;75;135.6666667;0.61869934;0.447174447;3
199;142;75;138.6666667;0.570125679;0.459134615;3
225;178;75;159.3333333;0.735894938;0.529288703;3
208;154;63;141.6666667;0.669870451;0.555294118;3
208;154;50;137.3333333;0.704311337;0.63592233;3
182;130;50;120.6666667;0.645460187;0.585635359;3
182;130;63;125;0.596245948;0.496;3
164;107;50;107;0.523598776;0.53271028;3
173;118;50;113.6666667;0.584543967;0.560117302;3
199;154;63;138.6666667;0.716452011;0.545673077;3
199;142;63;134.6666667;0.616723535;0.532178218;3
199;154;50;134.3333333;0.748351549;0.627791563;3
216;166;63;148.3333333;0.720991597;0.575280899;3
208;166;63;145.6666667;0.761870109;0.567505721;3
208;154;63;141.6666667;0.669870451;0.555294118;3
182;130;63;125;0.596245948;0.496;3
190;130;63;127.6666667;0.555410496;0.506527415;3
173;107;50;110;0.481378738;0.545454545;3
164;107;50;107;0.523598776;0.53271028;3
173;118;50;113.6666667;0.584543967;0.560117302;3
164;118;75;119;0.504139987;0.369747899;3
164;118;75;119;0.504139987;0.369747899;3
164;118;75;119;0.504139987;0.369747899;3
